1,0.269,1503455865,user_group-2,0.256394,,{'Latency': 0.25621604919433594}
2,0.283,1503455865,user_group-2,0.269573,,{'Latency': 0.26952099800109863}
3,0.538,1503455865,user_group-2,0.255076,,{'Latency': 0.2550370693206787}
4,1.053,1503455866,user_group-1,1.026552,,{'Latency': 1.0264670848846436}
5,1.058,1503455866,user_group-1,1.045772,,{'Latency': 1.045699119567871}
6,1.075,1503455866,user_group-1,1.051721,,{'Latency': 1.0516610145568848}
7,1.146,1503455866,user_group-1,1.127388,Bad Response: HTTP 500,{'Latency': 1.1273579597473145}
8,1.168,1503455866,user_group-1,1.152908,,{'Latency': 1.152850866317749}
9,1.174,1503455866,user_group-1,1.168830,,{'Latency': 1.1687891483306885}
10,1.238,1503455866,user_group-1,1.227378,,{'Latency': 1.2273211479187012}
11,1.291,1503455866,user_group-1,0.232914,,{'Latency': 0.2328510284423828}
12,1.783,1503455866,user_group-1,0.708240,,{'Latency': 0.7081959247589111}
13,2.035,1503455867,user_group-1,0.980230,,{'Latency': 0.980186939239502}
14,2.048,1503455867,user_group-1,0.873866,,{'Latency': 0.8738160133361816}
15,2.077,1503455867,user_group-1,0.908223,,{'Latency': 0.908146858215332}
16,2.110,1503455867,user_group-1,0.963804,,{'Latency': 0.9637441635131836}
17,2.118,1503455867,user_group-1,0.879300,,{'Latency': 0.879227876663208}
18,2.339,1503455867,user_group-1,0.221420,,{'Latency': 0.22137784957885742}
19,2.981,1503455868,user_group-1,0.904060,,{'Latency': 0.9040000438690186}
20,3.080,1503455868,user_group-1,1.044904,,{'Latency': 1.04486083984375}
21,3.115,1503455868,user_group-1,1.004425,,{'Latency': 1.004384994506836}
22,3.278,1503455868,user_group-1,0.938278,Bad Response: HTTP 500,{'Latency': 0.9382438659667969}
23,3.358,1503455868,user_group-1,1.574486,Bad Response: HTTP 500,{'Latency': 1.574463129043579}
24,3.940,1503455869,user_group-1,0.860286,,{'Latency': 0.8602421283721924}
25,4.017,1503455869,user_group-1,1.036130,,{'Latency': 1.0360889434814453}
26,4.085,1503455869,user_group-1,0.970286,,{'Latency': 0.9702441692352295}
27,4.322,1503455869,user_group-1,0.964187,,{'Latency': 0.9640729427337646}
28,4.356,1503455869,user_group-1,1.077873,,{'Latency': 1.0778348445892334}
29,4.853,1503455870,user_group-1,0.835776,,{'Latency': 0.8357198238372803}
30,4.893,1503455870,user_group-1,0.807380,,{'Latency': 0.8073458671569824}
31,5.174,1503455870,user_group-1,0.851499,,{'Latency': 0.8514578342437744}
32,5.390,1503455870,user_group-1,1.034008,Bad Response: HTTP 500,{'Latency': 1.0339000225067139}
33,5.611,1503455870,user_group-1,0.220834,,{'Latency': 0.2207930088043213}
34,5.876,1503455871,user_group-1,0.983714,,{'Latency': 0.9836609363555908}
35,5.924,1503455871,user_group-1,1.070568,Bad Response: HTTP 500,{'Latency': 1.0705208778381348}
36,6.050,1503455871,user_group-1,0.875421,,{'Latency': 0.8753769397735596}
37,6.176,1503455871,user_group-1,0.251901,,{'Latency': 0.2518579959869385}
38,6.462,1503455871,user_group-1,0.850643,,{'Latency': 0.8505969047546387}
39,6.903,1503455872,user_group-1,0.853518,,{'Latency': 0.8534770011901855}
40,6.978,1503455872,user_group-1,1.100928,,{'Latency': 1.1007730960845947}
41,7.221,1503455872,user_group-1,1.045601,,{'Latency': 1.0455379486083984}
42,7.305,1503455872,user_group-1,6.013389,,{'Latency': 6.013329029083252}
43,7.485,1503455872,user_group-2,6.946934,Bad Response: HTTP 500,{'Latency': 6.946898937225342}
44,7.600,1503455872,user_group-1,1.137950,,{'Latency': 1.137908935546875}
45,7.627,1503455872,user_group-1,0.723593,,{'Latency': 0.7235550880432129}
46,7.896,1503455873,user_group-1,0.918302,,{'Latency': 0.9181919097900391}
47,8.079,1503455873,user_group-1,0.857866,,{'Latency': 0.857820987701416}
48,8.087,1503455873,user_group-1,6.039395,,{'Latency': 6.039265871047974}
49,8.286,1503455873,user_group-1,0.981231,,{'Latency': 0.9811861515045166}
50,8.474,1503455873,user_group-1,0.846471,,{'Latency': 0.8464291095733643}
