Meles meles
Arctonyx collaris
Mellivora capensis
Taxidea taxus
Martes martes
Martes zibellina
Martes melampus
Martes foina
Melogale moschata
Melogale personata
Martes americana
Martes flavigula
Mustela lutreola
Mustela sibirica
Mustela erminea
Mustela nudipes
Mustela strigidorsa
Mustela frenata
Neovison vison
Lontra canadensis
Lontra felina
Lontra longicaudis
Pteronura brasiliensis
Mustela altaica
Mustela nivalis
Aonyx capensis
Aonyx cinerea
Lutrogale perspicillata
Lutra lutra
Lutra sumatrana
